rule | sha256(literal) | length
 1 | 2a236c4341d636d679b416731a1f6ca527b2f38b70ff6a3bed33f6041f78eca0 | 27
 2 | c5cc22e510e748f2801b81cb62116e5e346849513a76e7fd590c91fae4e9e228 | 100
 3 | 21744d2eda70f167a3fa93324e338f071612747765edc589ab5a1debff91698f | 66
 4 | 9fde8bb9adb2d647af792b0cca4e6580cdb7d9a52c3989821493bd9c8231be8f | 116
 5 | 884af32f98398ab137807943330c983b24560b07c3b21f32450fe84eb03d548d | 95
 6 | bc46a96daa49430dce50e52eff59623b3e3a9c8938f25e1822cb40094693b4fa | 56
 7 | ab3b7ee21d8c62c9479de4652b1519f5b2e47011af5caa57780581be89af3635 | 29
 8 | 9b094ddf98756fe5e65f1dab7beb57476b13de0dd29fe1126410694b85d4e792 | 21
 9 | 35c2b80f1671945e56d7fd63567a1a6955a998bf534fde4966b4f1a2161c74e0 | 33
10 | b0620e7cf966848387e4b53c6b1e93efee72a106d6e0a1719d63f61bb14845f2 | 22
11 | f9d8f4ee6231bac11120a4d56cc176be908a03f44be5c37c2e15dde0f57e12b3 | 17
12 | cac975e0b39886dbeedd3489daf7f26d457d4fe55e9d7672b9dff23d38d8cf50 | 11
13 | ffe5cec20c4b8d0732076dbbb1d8c9a4004ff48187c5e762d02e5f4d1b15f7fd | 16
14 | 96a7933697e8da14cf34a75672a870a89ff864a1e0261c3271ed3b941aea23f5 | 12
15 | 1912ee8d718d978b7ae5361859dd41b9303bfe303ac903a5a2cc1ded3afb3cfe | 36
16 | b95fd2a4f2905ad325f0ac6e0f1c9d18aa2ec26cfc55c8bdc1437d1a110e3481 | 36
17 | b49a3fa522f003e214131c9d305b660feb4ba14926b0bf27250206d8b6784370 | 22
18 | 93299206531123c82c25796f98922230eaf777ba021f591a5eac6376e5c25d05 | 25
19 | 9aff63951f2f3fa23fe3cbbb34dc89d6cbabf242bfcc76d58743131c4c8b61e2 | 22
20 | 69006337086a85f3b8291f7c430d4bb68bf9df4e4d1fa7d7dc8ca5fc01719785 | 20
